investment_id,fund_name,superfund_type,fund_assets,investment_id,investment_name,asset_class,lifecycle_in,public_offer,return_1yr,return_3yr,return_5yr,investment_size,targetreturn,risk,fee,invfee,admin_fee
143,Commonwealth Essential Super,Retail,3.396708,1174,Commonwealth Essential Super MySuper - Lifestage 1950-54,Conservative Balanced,1,1,NULL,NULL,NULL,0.05564,1.8,3.3,505.56,0.00105,0.00135
143,Commonwealth Essential Super,Retail,3.396708,1175,Commonwealth Essential Super MySuper - Lifestage 1960-64,Conservative Balanced,1,1,NULL,NULL,NULL,0.21612,2.5,3.9,505.56,0.0011,0.00135
143,Commonwealth Essential Super,Retail,3.396708,1176,Commonwealth Essential Super MySuper - Lifestage 1970-74,High Growth,1,1,NULL,NULL,NULL,0.3615,3.9,5.3,485.56,0.00105,0.00135
143,Commonwealth Essential Super,Retail,3.396708,1177,Commonwealth Essential Super MySuper - Lifestage 1980-84,High Growth,1,1,NULL,NULL,NULL,0.60287,4,5.3,475.56,0.00105,0.00135
143,Commonwealth Essential Super,Retail,3.396708,1178,Commonwealth Essential Super MySuper - Lifestage 1990-94,High Growth,1,1,NULL,NULL,NULL,0.52714,4,5.3,475.56,0.00105,0.00135
143,Commonwealth Essential Super,Retail,3.396708,2952,Commonwealth Essential Super MySuper - Lifestage 2000-04,Growth,1,1,8.396789,NULL,NULL,0.00317,4,5.3,455.56,0.0041,0.0053
189,PSSap,Public Sector,12.51547,666,CSC PSSap - MySuper Balanced,Balanced,0,0,7.689115,8.789976,8.021135,12.00006,3.5,3.5,535,0.0122,0.0012
149,Energy Industries Superannuation Scheme-Pool A,Public Sector,3.596224,674,EISS Super - MySuper Conservative Balanced,Conservative Balanced,0,1,7.030209,6.929724,6.259936,1.4207,2.5,2.9,460,0.0035,0.0046
150,Energy Super,Industry,7.376401,681,Energy Super - MySuper,Balanced,0,1,5.607083,8.891264,8.198853,2.23935,4.62,3.5,642,0.0089,0.0033
151,equipsuper,Industry,14.84029,683,Equip - MySuper,Balanced,0,1,8.995646,9.846118,8.513627,6.27285,3.75,2.8,442,0.0059,0.0024
153,First State Super,Public Sector,71.471429,702,First State Super MySuper - Life Cycle Balanced Growth,Conservative Balanced,1,1,7.144931,8.241166,7.083035,14.08676,2.9,3.8,507,0.0076,0.0024
153,First State Super,Public Sector,71.471429,703,First State Super MySuper - Life Cycle Growth,Balanced,1,1,7.7107,10.01207,8.254682,49.76219,3.6,4.5,527,0.008,0.0024
154,First Super,Industry,2.974389,709,First Super MySuper - Balanced,Balanced,0,1,6.706462,9.890864,8.921264,2.79301,3.5,2.3,633.49,0.0124,0.004
155,Goldman Sachs & JBWere Superannuation Fund,Corporate,0.499427,710,Goldman Sachs & JBWere Superannuation - MySuper,Growth,0,0,8.991725,10.273449,9.549745,0.39226,4,6,750,0.0052,0.01
156,Guild Retirement Fund,Retail,1.753629,711,GuildSuper MySuper - Building Lifestage,High Growth,1,1,8.61763,10.658712,8.883306,0.84052,4,4.5,735,0.0075,0.0035
